Index	Direction	Time Mark	Status	Name	ID	Format	Type	DLC	Data	
137	Receive	13:14:37.152			0x1888A1F3	Data	Extend	0x08	B2 03 A0 03 00 05 00 00 	
138	Receive	13:14:37.152			0x1889A1F3	Data	Extend	0x08	00 00 00 00 05 00 00 00 	
139	Receive	13:14:37.152			0x188AA1F3	Data	Extend	0x08	00 00 00 00 00 00 00 00 	
140	Receive	13:14:37.152			0x188BA1F3	Data	Extend	0x08	00 00 00 00 00 00 00 00 	
141	Receive	13:14:37.152			0x18888888	Data	Extend	0x08	00 00 00 00 01 06 00 00 	
142	Receive	13:14:37.168			0x1888A1F3	Data	Extend	0x08	B2 03 A0 03 00 05 00 00 	
143	Receive	13:14:37.168			0x1889A1F3	Data	Extend	0x08	00 00 00 00 05 00 00 00 	
144	Receive	13:14:37.168			0x0CFF1092	Data	Extend	0x08	00 00 00 00 03 41 00 00 	
145	Receive	13:14:37.168			0x188AA1F3	Data	Extend	0x08	00 00 00 00 00 00 00 00 	
146	Receive	13:14:37.168			0x188BA1F3	Data	Extend	0x08	00 00 00 00 00 00 00 00 	
147	Receive	13:14:37.168			0x1888A1F3	Data	Extend	0x08	B2 03 A0 03 00 05 00 00 	
148	Receive	13:14:37.183			0x1889A1F3	Data	Extend	0x08	00 00 00 00 05 00 00 00 	
149	Receive	13:14:37.183			0x188AA1F3	Data	Extend	0x08	00 00 00 00 00 00 00 00 	
150	Receive	13:14:37.183			0x188BA1F3	Data	Extend	0x08	00 00 00 00 00 00 00 00 	
151	Receive	13:14:37.183			0x18888888	Data	Extend	0x08	00 00 00 00 01 06 00 00 	
152	Receive	13:14:37.183			0x1888A1F3	Data	Extend	0x08	B2 03 A0 03 00 05 00 00 	
153	Receive	13:14:37.183			0x1889A1F3	Data	Extend	0x08	00 00 00 00 05 00 00 00 	
154	Receive	13:14:37.183			0x188AA1F3	Data	Extend	0x08	00 00 00 00 00 00 00 00 	
155	Receive	13:14:37.183			0x188BA1F3	Data	Extend	0x08	00 00 00 00 00 00 00 00 	
156	Receive	13:14:37.183			0x1826A1F3	Data	Extend	0x08	2B 14 10 17 10 14 10 00 	
157	Receive	13:14:37.183			0x1827A1F3	Data	Extend	0x08	2B 18 10 18 10 16 10 00 	
158	Receive	13:14:37.183			0x1828A1F3	Data	Extend	0x08	2B 17 10 16 10 15 10 00 	
159	Receive	13:14:37.183			0x1829A1F3	Data	Extend	0x08	2B 18 10 18 10 16 10 00 	
160	Receive	13:14:37.199			0x1888A1F3	Data	Extend	0x08	B2 03 A0 03 00 05 00 00 	
161	Receive	13:14:37.199			0x1889A1F3	Data	Extend	0x08	00 00 00 00 05 00 00 00 	
162	Receive	13:14:37.199			0x188AA1F3	Data	Extend	0x08	00 00 00 00 00 00 00 00 	
163	Receive	13:14:37.199			0x188BA1F3	Data	Extend	0x08	00 00 00 00 00 00 00 00 	
164	Receive	13:14:37.199			0x18888888	Data	Extend	0x08	00 00 00 00 01 06 00 00 	
165	Receive	13:14:37.199			0x1888A1F3	Data	Extend	0x08	B2 03 A0 03 00 05 00 00 	
166	Receive	13:14:37.199			0x1889A1F3	Data	Extend	0x08	00 00 00 00 05 00 00 00 	
167	Receive	13:14:37.199			0x188AA1F3	Data	Extend	0x08	00 00 00 00 00 00 00 00 	
168	Receive	13:14:37.199			0x188BA1F3	Data	Extend	0x08	00 00 00 00 00 00 00 00 	
